Arrival Time,private,public,workplace
00:00,4.242627761962857,3.1441243386243385,0.8491109625668449
00:15,4.234812578508621,3.0221045047441697,0.9683943833943833
00:30,4.126868252205565,2.685927542255472,0.9439162348877376
00:45,3.8701008481220156,2.8186075821738252,0.9517061364313375
01:00,3.9384463801780876,2.6291890810118472,1.0173566308243727
01:15,4.1186292989418,2.573761008565569,1.085770126413839
01:30,3.756710727969349,2.648657557233609,1.0643566001899334
01:45,3.740691746325419,2.5295735158235155,1.0497550505050506
02:00,3.5929278946720804,2.725027816411683,1.134285440613027
02:15,3.717471809680968,2.6143201872861517,1.0690436241610737
02:30,3.781893151278717,2.4572340635484506,0.9815945165945166
02:45,3.4937678725236863,2.174445002231147,1.1241067538126361
03:00,3.718098480363134,2.2541515641855447,1.0944687660010242
03:15,3.660576084167308,1.9907857302867384,1.1308239171374765
03:30,3.214929105439546,2.146298369264787,1.0809004294149223
03:45,3.683782113037893,2.2988111990618587,1.0678779208392943
04:00,3.5627645502645504,2.2786677379859195,1.131509186351706
04:15,3.191113644039176,1.8175799883653285,1.0910027356902356
04:30,2.9823350451291626,1.6582540588533738,1.0245544444444445
04:45,2.702330364715861,1.6542686682063124,1.1425360650705956
05:00,2.6363086569579286,1.4690437561455258,1.2146382636655948
05:15,2.6436298527443105,1.6033285024154589,1.0156027890238417
05:30,2.4991070577014782,1.432443576388889,1.0156009070294785
05:45,2.3105678784144588,1.3011099569098183,1.080233302122347
06:00,2.3173817155067153,1.3260940775681342,0.8778498155832181
06:15,2.069097139844471,1.5314091020458165,0.8892508798391151
06:30,2.318608928794114,1.415168253968254,1.0403918548939084
06:45,2.5584855072463766,1.4286517132105367,1.06373715338375
07:00,2.0194252712308267,1.3390172998038166,0.9848486977702829
07:15,2.009486633249791,1.3557516898306372,1.0352936735018279
07:30,2.148770809136663,1.3442177301696998,1.0444468569065344
07:45,2.214625217580505,1.4353770842090514,1.0170504926108375
08:00,2.087757165292501,1.5607154127221392,1.1024484878697243
08:15,2.334297674822141,1.706131013306039,1.0449474705949526
08:30,2.377666965791048,1.7590933290741628,1.0838670710940825
08:45,2.5712564935064934,1.7731965174129354,1.148299510650547
