Arrival Time,private,public,workplace
00:00,26.321297275315167,29.09605128205128,24.684304812834224
00:15,26.568992805755396,28.328473264166,26.986236263736263
00:30,27.21400333148251,29.09459351620948,26.337383419689118
00:45,27.514541372674792,29.818062613430126,25.41230563002681
01:00,27.959728222996514,29.036690682036504,27.502876344086022
01:15,27.698303571428568,32.01197068403909,27.132724550898203
01:30,27.672155172413795,32.69512621359223,28.14094017094017
01:45,28.841979648473636,32.74201767151767,29.475909090909088
02:00,29.929767441860466,34.669012517385255,27.644827586206898
02:15,30.09706683168317,34.86487844408428,27.131577181208055
02:30,30.095279583875165,31.7407460035524,28.71207792207792
02:45,29.01324031007752,32.82349397590362,29.922313725490195
03:00,30.07207815275311,33.44592233009709,30.207834101382492
03:15,29.76540415704388,32.99145564516129,30.07877118644068
03:30,28.881925754060326,32.2050696517413,29.243333333333332
03:45,30.826213872832373,32.92298153034301,29.906223175965664
04:00,28.57625,31.110027548209366,30.017244094488188
04:15,27.025410334346507,30.54220942408377,29.492007575757576
04:30,26.64201680672269,30.405712328767123,27.68488
04:45,27.866386768447835,28.401521939953813,28.957513812154698
05:00,27.919441747572815,25.723769911504426,28.485401929260448
05:15,26.34448192771084,26.59302608695652,26.698744939271254
05:30,25.811759656652363,24.729735937500003,25.325816326530614
05:45,23.977190388170055,25.36129916897507,25.65584269662921
06:00,23.419381868131868,25.486966981132078,22.81765560165975
06:15,22.247959667852903,25.34877618522602,24.028861990950226
06:30,23.047575757575757,24.375389523809524,24.80340657084189
06:45,24.375632850241544,23.290690730837788,24.714642233856893
07:00,20.459587542087544,24.18740128410915,24.514401349072514
07:15,20.40275939849624,23.585423786739575,25.008941344778254
07:30,18.8284181184669,23.39800138217001,23.929491315136474
07:45,19.35552219321149,22.621645649432534,23.395899014778326
08:00,17.27711425206125,22.93289586447434,22.451161515453638
08:15,17.927272254034357,22.95496878198567,23.608386433710173
08:30,16.945335291238376,23.65353473885961,24.756932950191572
08:45,16.262917748917747,23.564926251097454,25.460906735751294
09:00,16.791710642040456,23.233009242144174,25.213086714399363
09:15,18.437956698240864,23.451576814326106,24.725346373268135
09:30,18.081422505307856,24.279779227053137,23.961652703731914
09:45,17.205553270259152,24.13170497344278,24.830899427636957
10:00,17.8700289975145,23.117573175542407,23.940132061628763
10:15,17.61552226383687,23.853683450429354,23.20441176470588
10:30,18.078383573612932,23.593744177310292,23.244068027210883
10:45,17.118924154987635,23.895751251443976,22.773339947089948
11:00,17.002371051579367,23.764643042671615,21.98472049689441
11:15,18.05507765451664,24.28010311493018,22.014592030360532
11:30,17.15469025565024,24.440851771511205,22.990172299536116
11:45,17.492394727467047,24.349810819462228,24.107062818336164
12:00,17.416970006591956,23.585950532247963,24.53997741389046
12:15,17.171654556843094,23.589683843588965,24.056237448316597
12:30,16.965629981606376,23.017853784219003,24.795846895720313
12:45,16.447992991398536,23.531625554850983,25.123095994914173
13:00,16.875341463414635,23.145751254705143,24.429229857819905
13:15,17.02796159754224,23.352242169841784,25.208830166270783
13:30,17.35618062088429,22.537592663476875,24.70735682819383
13:45,17.46148037159125,23.3203730964467,24.52198090692124
14:00,16.8183693995733,23.156190851735015,22.598394549763032
14:15,17.328377554132356,22.961295865633076,23.53215698022768
14:30,17.097997108155003,23.154680278569167,22.800797705314007
14:45,17.684374066328054,23.193338067304722,22.240574516496018
15:00,17.84389240683665,22.462033442818754,22.310734190782423
15:15,17.6225381378222,22.792030600461892,21.719588541666667
15:30,18.041201082943637,23.182452774498227,21.313642631578947
15:45,18.078070947695494,23.044094674556213,22.410237967914437
16:00,17.87652069224981,22.732029029582527,22.219918707660238
16:15,18.24976125478927,23.001445996775928,22.660886146943355
16:30,18.217721079103796,22.60809989780276,23.44786301369863
16:45,18.22027133432645,22.79525006276676,23.32519147727273
17:00,18.25982753069028,23.30849564375605,23.402930204572804
17:15,18.834844497134952,22.4540281829419,24.51706495098039
17:30,18.97329598145286,23.281315065065062,24.55242299794661
17:45,19.374443625644805,23.511103324808186,25.109020618556702
18:00,20.1322703180212,23.27591609421001,25.431443074691806
18:15,20.094284741144413,24.30854218056241,24.388262839879154
18:30,20.125889031020147,23.655631096088847,25.706179952644042
18:45,22.373364950316173,23.698029840388617,25.710231481481483
19:00,20.051468376824413,23.971626854779856,26.739331703341485
19:15,20.233923368298367,24.16299757751938,26.255373790677222
19:30,20.690565210797693,24.53298300653595,26.36426215277778
19:45,21.024823221923015,23.968632036986676,26.308544949026874
20:00,21.053583978927797,24.17514353665361,25.81791907514451
20:15,21.59506516817594,24.65223111111111,25.611094674556213
20:30,21.892670573827854,24.707115091210614,25.463203883495144
20:45,21.875456682944474,25.39455009696186,24.99093047034765
21:00,22.890501458789203,24.894017625540407,24.526459554513483
21:15,23.18055972952667,24.99138108581436,26.271961950059456
21:30,22.833980015082954,24.87459235209235,25.782517882689557
21:45,23.232902282036278,26.218158163265304,24.729803094233475
22:00,23.4485029824899,25.677471973094168,24.58235457063712
22:15,23.1817933836332,25.72746441211168,24.805411585365853
22:30,23.95095578947368,24.878215396578536,25.755679999999998
22:45,23.860667779632724,25.988609604704347,26.513497536945813
23:00,27.33042443640412,28.614467044284243,25.003738489871086
23:15,25.489700330344505,27.647152314814814,25.45803607214429
23:30,25.490775974025972,28.3384449704142,25.134922394678494
23:45,25.696267578867353,28.81345410958904,25.691745283018868
