scenario,is_weekend,sessions,mean_energy_kwh,mean_duration_hours
private,False,204591,20.613014169733763,3.389687194342751
private,True,88002,20.750684018545034,3.357035449320596
public,False,165147,24.38678332636984,2.1259523098276754
public,True,59656,24.54627437307228,2.2385655862128053
workplace,False,75100,23.81143412782956,1.0778232282882083
workplace,True,20785,26.25822102477748,0.9672768155453987
